[2024-03-28 20:02:11] Command doesn't exist.
[2024-03-28 20:02:14] Invalid number of args.
[2024-03-28 20:02:22] Invalid number of args.
[2024-03-28 20:02:52] Invalid number of args.
[2024-03-28 20:03:02] Invalid number of args.
[2024-03-28 20:03:09] Invalid number of args.
[2024-03-28 20:04:12] Invalid number of args.
[2024-03-28 20:04:34] Invalid number of args.
[2024-03-28 20:04:36] Invalid number of args.
[2024-03-28 20:05:15] Invalid number of args.
[2024-03-28 20:05:17] Invalid number of args.
